Soils_Code	Soil_Component	Soil_Component_Fraction	Soil_Horizon	Soil_Top_Depth	Soil_Bottom_Depth	Available_Water_Content	Hydrologic_Soil_Group_HWB
124	1	1	1	0	15	0.13	3
124	1	1	2	15	32	0.13	3
124	1	1	3	32	42	0	3
125	1	1	1	0	15	0.13	3
125	1	1	2	15	32	0.13	3
125	1	1	3	32	42	0	3
126	1	1	1	0	2	0.13	3
126	1	1	2	2	25	0.13	3
126	1	1	3	25	33	0.09	3
126	1	1	4	33	37	0	3
127	1	1	1	0	2	0.13	3
127	1	1	2	2	25	0.13	3
127	1	1	3	25	33	0.09	3
127	1	1	4	33	37	0	3
128	1	1	1	0	2	0.1	3
128	1	1	2	2	25	0.13	3
128	1	1	3	25	33	0.09	3
128	1	1	4	33	37	0	3
129	1	1	1	0	2	0.08	3
129	1	1	2	2	25	0.13	3
129	1	1	3	25	33	0.09	3
129	1	1	4	33	37	0	3
130	1	1	1	0	2	0.08	3
130	1	1	2	2	25	0.13	3
130	1	1	3	25	33	0.09	3
130	1	1	4	33	37	0	3
131	1	1	1	0	2	0.05	3
131	1	1	2	2	25	0.13	3
131	1	1	3	25	33	0.09	3
131	1	1	4	33	37	0	3
132	1	1	1	0	2	0.05	3
132	1	1	2	2	25	0.13	3
132	1	1	3	25	33	0.09	3
132	1	1	4	33	37	0	3
133	1	1	1	0	12	0.14	3
133	1	1	2	12	60	0.14	3
134	1	1	1	0	12	0.14	3
134	1	1	2	12	60	0.14	3
135	1	1	1	0	12	0.14	3
135	1	1	2	12	60	0.14	3
136	1	1	1	0	12	0.06	2
136	1	1	2	12	60	0.06	2
137	1	1	1	0	12	0.06	2
137	1	1	2	12	60	0.06	2
138	1	1	1	0	12	0.06	2
138	1	1	2	12	60	0.06	2
139	1	1	1	0	12	0.06	2
139	1	1	2	12	60	0.06	2
140	1	1	1	0	8	0.35	4
140	1	1	2	8	16	0.18	4
140	1	1	3	16	17	0.01	4
140	1	1	4	17	68	0.09	4
141	1	1	1	0	60	0.03	1
142	1	1	1	0	11	0.17	3
142	1	1	2	11	37	0.17	3
142	1	1	3	37	60	0.17	3
143	1	0.6	1	0	11	0.17	3
143	1	0.6	2	11	37	0.17	3
143	1	0.6	3	37	60	0.17	3
143	2	0.4	1	0	8	0.35	4
143	2	0.4	2	8	16	0.18	4
143	2	0.4	3	16	17	0.01	4
143	2	0.4	4	17	40	0.09	4
143	2	0.4	5	40	60	0	4
144	1	0.6	1	0	11	0.25	3
144	1	0.6	2	11	37	0.17	3
144	1	0.6	3	37	60	0.17	3
144	1	0.6	4	60	70	0	3
144	2	0.3	1	0	4	0.25	4
144	2	0.3	2	4	10	0.18	4
144	2	0.3	3	10	11	0.01	4
144	2	0.3	4	11	40	0.09	4
144	2	0.3	5	40	60	0	4
144	3	0.1	1	0	12	0	4
145	1	1	1	0	60	0.01	1
146	1	0.55	1	0	4	0.14	4
146	1	0.55	2	4	8	0.14	4
146	1	0.55	3	8	20	0	4
146	2	0.45	1	0	60	0	4
147	1	0.55	1	0	4	0.14	4
